Characteristic,Overall (N=263),2015-2020 (N=52),2021-2026 (N=211)
"Enrollment, median (IQR)",400 (156-1468),218 (92-1223),420 (200-1500)
Study type,,,
  Observational,183 (69.6),38 (73.1),145 (68.7)
  Interventional,80 (30.4),14 (26.9),66 (31.3)
Recruitment status,,,
  Recruiting,74 (28.1),6 (11.5),68 (32.2)
  Completed,72 (27.4),15 (28.8),57 (27.0)
  Unknown status,65 (24.7),27 (51.9),38 (18.0)
  Not yet recruiting,29 (11.0),0 (0.0),29 (13.7)
"  Active, not recruiting",17 (6.5),2 (3.8),15 (7.1)
  Other status,6 (2.3),2 (3.8),4 (1.9)
Center category,,,
  Single-center,182 (69.2),39 (75.0),143 (67.8)
  Multicenter,48 (18.3),7 (13.5),41 (19.4)
  Not reported,33 (12.5),6 (11.5),27 (12.8)
Study-level prospective design,170 (64.6),33 (63.5),137 (64.9)
AI-specific prospective design,103 (39.2),15 (28.8),88 (41.7)
Study-level randomized allocation,32 (12.2),6 (11.5),26 (12.3)
AI-workflow randomization,28 (10.6),5 (9.6),23 (10.9)
Diagnostic accuracy as primary evaluation,154 (58.6),31 (59.6),123 (58.3)
"Decision, patient, or economic primary evaluation",14 (5.3),0 (0.0),14 (6.6)
Clinical decision-impact primary evaluation,7 (2.7),0 (0.0),7 (3.3)
True patient outcome endpoint,7 (2.7),0 (0.0),7 (3.3)
Registry results posted,3 (1.1),3 (5.8),0 (0.0)
Registry results posted among completed studies,3 (4.2),3 (20.0),0 (0.0)
PubMed-linked empirical results among completed studies,13 (18.1),3 (20.0),10 (17.5)
Any registry-posted or PubMed-linked results among completed studies,15 (20.8),5 (33.3),10 (17.5)
"Lung, breast, or prostate cancer",138 (52.5),26 (50.0),112 (53.1)
