imaging_modality,ai_method,n
ct,deep_learning,53
radiomics_feature_imaging,radiomics,51
ct,automated_image_analysis,49
mri,automated_image_analysis,33
ct,machine_learning,31
mri,deep_learning,29
ct,radiomics,28
mri,machine_learning,24
ct,ai_workflow_decision_support,23
ultrasound,automated_image_analysis,22
radiomics_feature_imaging,machine_learning,21
mri,radiomics,19
radiomics_feature_imaging,automated_image_analysis,17
ultrasound,deep_learning,17
radiomics_feature_imaging,deep_learning,15
ultrasound,machine_learning,14
ct,computer_aided_detection_diagnosis,13
mri,ai_workflow_decision_support,13
mammography_tomosynthesis,automated_image_analysis,12
ultrasound,ai_workflow_decision_support,12
mammography_tomosynthesis,ai_workflow_decision_support,10
radiology_report,deep_learning,10
pet,automated_image_analysis,7
xray_radiograph,ai_workflow_decision_support,7
xray_radiograph,automated_image_analysis,7
xray_radiograph,deep_learning,7
mammography_tomosynthesis,deep_learning,6
mri,computer_aided_detection_diagnosis,6
pet,deep_learning,6
radiology_report,automated_image_analysis,6
ultrasound,computer_aided_detection_diagnosis,6
image_guided_procedure,ai_workflow_decision_support,5
image_guided_procedure,machine_learning,5
mammography_tomosynthesis,computer_aided_detection_diagnosis,5
pet,radiomics,5
radiology_report,ai_workflow_decision_support,5
ultrasound,radiomics,5
image_guided_procedure,automated_image_analysis,4
mammography_tomosynthesis,machine_learning,4
pet,machine_learning,4
radiology_report,computer_aided_detection_diagnosis,4
radiomics_feature_imaging,ai_workflow_decision_support,4
xray_radiograph,machine_learning,4
xray_radiograph,radiomics,4
image_guided_procedure,deep_learning,3
pet,computer_aided_detection_diagnosis,3
radiology_report,machine_learning,3
image_guided_procedure,radiomics,2
pet,ai_workflow_decision_support,2
image_guided_procedure,computer_aided_detection_diagnosis,1
radiology_report,radiomics,1
radiomics_feature_imaging,computer_aided_detection_diagnosis,1
xray_radiograph,computer_aided_detection_diagnosis,1
